"fips","month_year","case_rate_100k","temperature","precipitation","pm2p5","wind_speed","humidity","lag_temperature","lag_precipitation","lag_pm2p5","lag_humidity","lag_wind_speed"
12083,"01/2011",0,53.3,3.34,113.44,4.4,77.1161290322581,50.0774193548387,3.15,167.99,72.4645161290323,4.86451612903226
12085,"01/2011",0,60.4064516129032,1.61,125.56,4.74838709677419,80.6354838709677,56.2483870967742,1.51,125.89,76.1774193548387,5.82903225806452
12089,"01/2011",0,47.7161290322581,4.73,119.21,4.45483870967742,77.4838709677419,46.1096774193548,3.26,174.51,72.8096774193548,5.89677419354839
12091,"01/2011",0,46.1451612903226,3.63,95.12,5.94838709677419,77.2258064516129,44.2193548387097,6.03,98.24,72.6774193548387,7.16774193548387
12093,"01/2011",0,59.7967741935484,1.47,115.44,4.72258064516129,76.8548387096774,55.9225806451613,1.33,138.48,74.1645161290323,5.93870967741935
12095,"01/2011",0,57.3870967741936,5.44,104.36,5.76451612903226,75.9483870967742,53.6709677419355,3.59,154.47,70.6516129032258,6.67741935483871
12097,"01/2011",0,59.1516129032258,2.85,118.17,6.01935483870968,76.1354838709677,54.6838709677419,1.37,146.17,74.358064516129,7.24193548387097
12101,"01/2011",0,55.8483870967742,3.51,110.42,5.41612903225806,76.6322580645161,51.658064516129,2.46,135.39,70.2,5.38064516129032
12103,"01/2011",0,57.5774193548387,2.67,90.95,8.63225806451613,78.7935483870968,53.4161290322581,2.46,104.46,72.5129032258065,7.63870967741935
12105,"01/2011",0,57.9354838709677,1.85,111.08,5.1258064516129,77.7129032258065,53.6741935483871,1.09,145.66,74.9161290322581,5.32903225806452
12107,"01/2011",0,52.7967741935484,2.11,104.31,3.96774193548387,77.0064516129032,50.7258064516129,2.51,148.52,69.9677419354839,4.65483870967742
12109,"01/2011",0,50.8064516129032,2.41,90.96,4.83870967741935,79.2322580645161,49.5774193548387,3.02,123.42,74.3935483870968,6.30967741935484
12111,"01/2011",0,59.9870967741936,1.97,108.63,5.46129032258064,79.1838709677419,56.1193548387097,1.28,119.75,75.3193548387097,6.50645161290323
12113,"01/2011",0,46.7677419354839,3.89,109.07,6.29354838709677,74.4870967741935,44.8322580645161,6.19,101.83,70.1677419354839,7.91612903225806
